model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/Qwen/Qwen3-32B,m2_038,0.5,50,47,50,0,0.94,0.9976,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_039,0.5,50,43,50,0,0.86,0.9829,0.9982,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_040,0.5,50,2,50,0,0.04,0.0792,0.1176,0.1551,0.1918,0.2278,0.2629,0.2971,0.3306,0.3633,0.3951,0.4261,0.4563,0.4857,0.5143,0.542,0.569,0.5951,0.6204,0.6449
tinker/Qwen/Qwen3-32B,m2_041,0.5,50,48,50,0,0.96,0.9992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_042,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_043,0.5,50,19,50,0,0.38,0.6204,0.7707,0.8634,0.9198,0.9537,0.9737,0.9853,0.992,0.9957,0.9977,0.9988,0.9994,0.9997,0.9999,0.9999,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_044,0.5,50,48,50,0,0.96,0.9992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_045,0.5,50,34,50,0,0.68,0.902,0.9714,0.9921,0.9979,0.9995,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_046,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/Qwen/Qwen3-32B,m2_047,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_048,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/Qwen/Qwen3-32B,m2_049,0.5,50,1,50,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4
tinker/Qwen/Qwen3-32B,m2_050,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_051,0.5,50,49,50,0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_052,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_053,0.5,50,42,50,0,0.84,0.9771,0.9971,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_054,0.5,50,15,50,0,0.3,0.5143,0.6661,0.7726,0.8468,0.8979,0.9327,0.9562,0.9718,0.9821,0.9888,0.9931,0.9958,0.9975,0.9986,0.9992,0.9995,0.9997,0.9999,0.9999
tinker/Qwen/Qwen3-32B,m2_055,0.5,50,36,50,0,0.72,0.9257,0.9814,0.9957,0.9991,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_056,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_057,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_058,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_059,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_060,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_061,0.5,50,25,50,0,0.5,0.7551,0.8827,0.9451,0.9749,0.9889,0.9952,0.998,0.9992,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_062,0.5,50,33,50,0,0.66,0.889,0.9653,0.9897,0.9971,0.9992,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_063,0.5,50,17,50,0,0.34,0.569,0.7216,0.8223,0.888,0.9303,0.9572,0.9741,0.9846,0.991,0.9948,0.9971,0.9984,0.9991,0.9995,0.9998,0.9999,0.9999,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_064,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/Qwen/Qwen3-32B,m2_065,0.5,50,43,50,0,0.86,0.9829,0.9982,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,m2_066,0.5,50,2,50,0,0.04,0.0792,0.1176,0.1551,0.1918,0.2278,0.2629,0.2971,0.3306,0.3633,0.3951,0.4261,0.4563,0.4857,0.5143,0.542,0.569,0.5951,0.6204,0.6449
tinker/Qwen/Qwen3-32B,m2_067,0.5,50,27,50,0,0.54,0.7935,0.9096,0.9616,0.9841,0.9936,0.9975,0.9991,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/Qwen/Qwen3-32B,__aggregate__,0.5,3350,1111,3350,0,0.3316,0.409,0.4449,0.4676,0.4843,0.4976,0.5086,0.5181,0.5264,0.5338,0.5406,0.5467,0.5524,0.5577,0.5625,0.5671,0.5714,0.5754,0.5792,0.5828
